Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
496,Gigi Datome,26,DET,SF,34,0,238,8.0,0.409,0.402,0.103,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,-0.2,0.1,-0.1,-0.023,-3.7,-2.3,-6.0,-0.2,,datomlu01,2014
497,James Jones,33,MIA,SF,20,6,236,15.4,0.666,0.794,0.162,1.1,10.8,6.1,5.8,0.7,1.5,5.2,15.6,0.6,0.1,0.7,0.147,4.1,-0.9,3.2,0.3,,jonesja02,2014
498,Carl Landry,30,SAC,PF,18,1,233,11.2,0.563,0.0,0.283,7.2,20.6,13.8,3.4,0.7,0.3,11.8,14.5,0.3,0.1,0.4,0.088,-2.4,-0.7,-3.1,-0.1,,landrca01,2014
499,Solomon Hill,22,IND,SF,28,0,226,7.6,0.545,0.575,0.175,4.7,15.2,10.2,7.9,1.1,0.7,23.2,11.3,0.0,0.4,0.4,0.08,-3.3,0.9,-2.4,0.0,,hillso01,2014
500,Mike Harris,30,UTA,PF,20,0,225,15.3,0.576,0.033,0.443,7.4,9.5,8.4,3.6,3.7,2.4,13.1,17.1,0.3,0.2,0.5,0.116,-1.6,1.9,0.3,0.1,,harrimi01,2014
501,Lorenzo Brown,23,PHI,PG,26,0,224,8.2,0.349,0.349,0.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,-0.5,0.2,-0.3,-0.068,-4.5,-0.7,-5.2,-0.2,,brownlo01,2014
502,Peyton Siva,23,DET,SG,24,0,224,5.7,0.425,0.439,0.263,0.9,6.2,3.4,21.0,2.0,0.4,22.1,15.6,-0.2,0.1,-0.2,-0.032,-5.3,-1.1,-6.4,-0.2,,sivape01,2014
503,Mike Muscala,22,ATL,PF,20,0,215,10.8,0.48,0.041,0.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,0.04,-4.5,-1.0,-5.5,-0.2,,muscami01,2014
504,Greg Oden,26,MIA,C,23,6,212,12.4,0.567,0.0,0.469,14.2,17.7,16.0,0.7,1.7,5.3,16.9,16.0,0.2,0.3,0.5,0.119,-5.0,0.2,-4.8,-0.1,,odengr01,2014
505,Dionte Christmas,27,PHO,SF,31,0,198,11.1,0.489,0.5,0.387,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,0.2,0.1,0.3,0.083,-0.5,-1.3,-1.8,0.0,,chrisdi01,2014
