Player,Salary,Year
Marco Belinelli,1446720,2009
Quincy Douby,1427040,2009
JaVale McGee,1392240,2009
Javaris Crittenton,1381560,2009
Renaldo Balkman,1369920,2009
JJ Hickson,1329480,2009
Jason Smith,1326360,2009
Calvin Booth,1319651,2009
Rajon Rondo,1315080,2009
Malik Allen,1300000,2009
Alexis Ajinca,1276320,2009
Daequan Cook,1273200,2009
Marcus Williams,1262520,2009
Jacque Vaughn,1262275,2009
Sam Cassell,1262275,2009
Theo Ratliff,1262275,2009
Kevin Ollie,1262275,2009
Jason Williams,1262275,2009
Brian Skinner,1262275,2009
Lorenzen Wright,1262275,2009
Roko Ukic,1250000,2009
Ryan Anderson,1225200,2009
Jared Dudley,1222320,2009
Josh Boone,1212120,2009
Ronnie Price,1188000,2009
Courtney Lee,1176240,2009
Wilson Chandler,1173480,2009
Kyle Lowry,1163520,2009
Anthony Carter,1147533,2009
Lindsey Hunter,1143473,2009
Michael Ruffin,1141838,2009
Sean Marks,1141838,2009
Ryan Bowen,1141838,2009
Jamaal Magloire,1141838,2009
Kosta Koufos,1129320,2009
Rudy Fernandez,1084080,2009
Morris Almond,1081440,2009
Ime Udoka,1080000,2009
Jordan Farmar,1080000,2009
Sergio Rodriguez,1048800,2009
Aaron Brooks,1045560,2009
Maurice Ager,1042440,2009
Nicolas Batum,1040640,2009
Mardy Collins,1034760,2009
Arron Afflalo,1015440,2009
Ian Mahinmi,1009200,2009
George Hill,1006200,2009
Alando Tucker,1001880,2009
Juan Dixon,998398,2009
Melvin Ely,998398,2009
Devin Brown,998398,2009
Mike Wilks,998398,2009
Chris Andersen,998398,2009
Darrell Arthur,977160,2009
Chris Quinn,972581,2009
Ryan Hollins,972581,2009
Donte Greene,971160,2009
DJ White,964080,2009
JR Giddens,957120,2009
Matt Barnes,926678,2009
Kareem Rush,926678,2009
Dahntay Jones,926678,2009
Keith McLeod,926678,2009
Yakhouba Diawara,875000,2009
Royal Ivey,854957,2009
Quinton Ross,854957,2009
Josh Powell,854957,2009
Gerald Green,854957,2009
Shavlik Randolph,826269,2009
Stephen Graham,826269,2009
Von Wafer,826269,2009
James Singleton,826269,2009
Brandon Bass,826269,2009
Jake Voskuhl,826153,2009
Joey Dorsey,816500,2009
Kyrylo Fesenko,810000,2009
Kyle Weaver,806452,2009
Paul Millsap,797581,2009
Juaquin Hawkins,797581,2009
Shannon Brown,797581,2009
Cheikh Samb,797581,2009
Steve Novak,797581,2009
Tarence Kinsey,797581,2009
Anthony Roberson,797581,2009
Leon Powe,797581,2009
Solomon Jones,797581,2009
Randolph Morris,797581,2009
Dikembe Mutombo,794491,2009
Jeremy Richardson,769431,2009
Luc Mbah a Moute,757000,2009
Ramon Sessions,722517,2009
Dominic McGuire,711517,2009
Willie Solomon,711517,2009
Marcin Gortat,711517,2009
Joel Anthony,711517,2009
Jamario Moon,711517,2009
Alex Acker,711517,2009
Josh McRoberts,711517,2009
CJ Watson,711517,2009
Will Bynum,711517,2009
Aaron Gray,711517,2009
Glen Davis,711517,2009
Gabe Pruitt,711517,2009
Thomas Gardner,711517,2009
Mario West,711517,2009
Mario Chalmers,700000,2009
Fred Jones,622531,2009
Austin Croshere,601436,2009
DeAndre Jordan,550000,2009
Henry Walker,542114,2009
Mike Taylor,500000,2009
Darnell Jackson,450000,2009
Chris Douglas-Roberts,442411,2009
Nathan Jawai,442114,2009
Bobby Brown,442114,2009
Sun Yue,442114,2009
Anthony Morrow,442114,2009
Walter Sharpe,442114,2009
Sonny Weems,442114,2009
Sean Singletary,442114,2009
Othello Hunter,442114,2009
Rob Kurz,429111,2009
Jermareo Davidson,422725,2009
Eddie Gill,387613,2009
Shaun Livingston,370000,2009
Malik Hairston,351091,2009
Paul Davis,328416,2009
Hassan Adams,297163,2009
Jawad Williams,244463,2009
Dee Brown,238567,2009
Anthony Tolliver,213255,2009
Cartier Martin,200252,2009
Trey Johnson,187258,2009
Courtney Sims,184648,2009
DeMarcus Nelson,182047,2009
Steven Hill,148238,2009
Blake Ahearn,125562,2009
Linton Johnson,125374,2009
Andre Brown,107908,2009
Demetris Nichols,87893,2009
Desmon Farmer,83708,2009
Richard Hendrix,57215,2009
Dwayne Jones,46812,2009
